NAME	SCORE
starring	6.0278822173436
writer	6.3423934326981
producer	6.4371836232445
artist	7.0012283209226
associatedBand	7.9605623692861
associatedMusicalArtist	7.9605623692861
music	7.9610955527643
associatedActs	8.0012490116753
subsequentWork	8.0310067218447
previousWork	8.0313468552731
currentMembers	8.3500741298589
pastMembers	8.4506619856677
album	8.4672020669182
musicComposer	8.6680454647747
musicalBand	8.9457567076391
musicalArtist	8.9457567076391
bandMember	9.5179725244297
formerBandMember	9.6127221392792
relations	10.316677784533
themeMusicComposer	10.670999696911
relation	10.768771476479
compiler	13.318431647226
